,state,article_title,revision_id,article_quality
59,Georgia (U.S. state),"Alapaha, Georgia",1167594382,C
60,South Carolina,"Jackson, South Carolina",1173679744,C
61,Iowa,"Avoca, Iowa",1170976190,C
62,New Jersey,"Bergenfield, New Jersey",1178797367,GA
63,Washington,"Centralia, Washington",1176437471,B
64,Wisconsin,"Burlington, Wisconsin",1180097030,GA
65,Michigan,"Ash Township, Michigan",1173918388,C
66,Michigan,"Peacock Township, Michigan",1167458542,Start
67,Kentucky,"Brooksville, Kentucky",1165537358,C
68,Texas,"Turkey, Texas",1179707408,C
69,Pennsylvania,"Springdale Township, Allegheny County, Pennsylvania",1175378647,Stub
70,Illinois,"Batavia, Illinois",1179888702,GA
71,Texas,"Paradise, Texas",1172289167,Start
72,Alabama,"Bayou La Batre, Alabama",1177999052,C
73,Illinois,"Kenney, Illinois",1172814525,C
74,Massachusetts,"Foxborough, Massachusetts",1176063097,C
75,Michigan,"Rust Township, Michigan",1178988464,Start
76,Washington,"Goldendale, Washington",1179578595,C
77,Georgia (U.S. state),"Cumming, Georgia",1180024362,C
78,Missouri,"Lake Tapawingo, Missouri",1179439415,C
79,Ohio,"McDonald, Ohio",1167975501,C
80,Ohio,"Yankee Lake, Ohio",1167975567,C
81,Alabama,"Hurtsboro, Alabama",1096814754,C
82,New Jersey,"Interlaken, New Jersey",1179889849,GA
83,Texas,"Normangee, Texas",1166209664,GA
84,New York,"Smithtown (CDP), New York",1164946911,GA
85,Ohio,"Youngstown, Ohio",1178565418,B
86,Indiana,"Wheatfield, Indiana",1175786046,GA
87,Michigan,"Homer Township, Midland County, Michigan",1167155002,Start
88,Minnesota,"Rochester, Minnesota",1180147639,GA
89,Kentucky,"Keene, Kentucky",1165751924,Start
90,New Jersey,"Wyckoff, New Jersey",1180155822,B
91,Iowa,"Searsboro, Iowa",1168608374,Start
92,Oklahoma,"Newcastle, Oklahoma",1179422036,C
93,New Jersey,"South Plainfield, New Jersey",1179888518,B
94,Tennessee,"Decatur, Tennessee",1166066536,C
95,Louisiana,"Heflin, Louisiana",1167135335,C
96,Texas,"Volente, Texas",1179072875,Start
97,Florida,"Polk City, Florida",1165898323,C
98,Missouri,"Hughesville, Missouri",1167156822,C
99,South Carolina,"Winnsboro, South Carolina",1175212836,GA
100,Indiana,"Staunton, Indiana",1179094223,C
101,Missouri,"Weldon Spring, Missouri",1165907013,C
102,Illinois,"Lincoln, Illinois",1180108992,C
103,Minnesota,"St. Anthony, Minnesota",1175701768,C
104,Minnesota,"Cook, Minnesota",1165645110,C
105,Wyoming,"Hanna, Wyoming",1166342784,C
106,Alabama,"Mountain Brook, Alabama",1172621297,C
107,Alabama,"Garden City, Alabama",1166068968,C
108,Louisiana,"Athens, Louisiana",1166486386,C
109,Massachusetts,"Topsfield, Massachusetts",1171358967,FA
110,Alabama,"Fairview, Alabama",1166068021,C
111,Michigan,"Kinross Charter Township, Michigan",1174711575,Start
112,Alaska,"Kachemak, Alaska",1165751412,GA
113,Pennsylvania,"Taylor Township, Blair County, Pennsylvania",1167681256,C
114,Ohio,"Lucas, Ohio",1169885775,C
115,Iowa,"Collins, Iowa",1165644770,C
116,Michigan,"Frenchtown Township, Michigan",529033936,Stub
117,Virginia,"Suffolk, Virginia",1178808034,C
118,Illinois,"Maroa, Illinois",1169769636,C
119,Maine,"Passadumkeag, Maine",1166210998,C
120,Georgia (U.S. state),"LaGrange, Georgia",1178489100,C
121,Georgia (U.S. state),"Thunderbolt, Georgia",1166331338,C
122,Texas,"Adrian, Texas",1165506132,GA
123,Colorado,"Iliff, Colorado",1177840609,Start
124,Indiana,"Oakland City, Indiana",1165896219,C
125,Indiana,"Van Buren, Indiana",1166332010,C
126,Indiana,"Chesterfield, Indiana",1166017812,GA
127,Michigan,"Selma Township, Michigan",1170392316,C
128,Alaska,"Port Lions, Alaska",1165898446,C
129,South Carolina,"McCormick, South Carolina",1173704533,C
130,California,"Jackson, California",1165750994,GA
131,Minnesota,"Brooten, Minnesota",1165537374,C
132,Pennsylvania,"Reserve Township, Allegheny County, Pennsylvania",1175381945,Stub
133,Iowa,"Iowa Falls, Iowa",1165750880,C
134,Rhode Island,"Foster, Rhode Island",1166068529,C
135,Missouri,"Rothville, Missouri",1167641728,GA
136,Alabama,"Brantley, Alabama",1165814013,C
137,Florida,"Keystone Heights, Florida",1165752144,GA
138,Colorado,"Pagosa Springs, Colorado",1170399951,C
139,New York,"Pelham Manor, New York",1156074249,C
140,Arkansas,"Strawberry, Arkansas",1166330672,C
141,Georgia (U.S. state),"Canon, Georgia",1165538201,C
142,Florida,"Ponce de Leon, Florida",1166229213,C
143,Iowa,"Delhi, Iowa",1165646562,C
144,Tennessee,"Hollow Rock, Tennessee",1166181261,Start
145,Washington,"Shelton, Washington",1172720742,GA
146,Michigan,"Holland, Michigan",1177683866,C
147,Arizona,"Huachuca City, Arizona",1162263927,C
148,Colorado,"Marble, Colorado",1166206852,C
149,Maine,"Stetson, Maine",1166330462,Start
150,Indiana,"Ligonier, Indiana",1176398135,C
151,South Dakota,"Wasta, South Dakota",1170881255,GA
152,North Carolina,"Knightdale, North Carolina",1174669296,C
153,South Dakota,"Murdo, South Dakota",1172261740,C
154,Pennsylvania,"Leroy Township, Bradford County, Pennsylvania",1167316207,Start
155,Missouri,"Kansas City, Missouri",1179707576,B
156,Pennsylvania,"Mifflin, Pennsylvania",1157441177,GA
157,California,"Anderson, California",1172851390,C
158,Kentucky,"Highland Heights, Kentucky",1176458374,GA
159,Pennsylvania,"Porter Township, Lycoming County, Pennsylvania",1157453705,GA
160,South Dakota,"Garretson, South Dakota",1171244225,C
161,Oregon,"Wasco, Oregon",1165906686,C
162,New York,"Fort Plain, New York",1167016658,C
163,Michigan,"Ypsilanti, Michigan",1180041355,GA
164,Iowa,"Agency, Iowa",1165506156,C
165,Texas,"Dell City, Texas",1177478223,GA
166,Michigan,"Garfield Township, Clare County, Michigan",1167019398,C
167,Missouri,"Mountain Grove, Missouri",1177396440,GA
168,Idaho,"Minidoka, Idaho",1169482425,C
169,Arkansas,"Smithville, Arkansas",1166231453,GA
170,Iowa,"St. Ansgar, Iowa",1165902795,C
171,Kansas,"Augusta, Kansas",1179999722,C
172,New York,Square mile,1179747974,Start
173,South Dakota,"Raymond, South Dakota",1171573903,GA
174,Georgia (U.S. state),"Bellville, Georgia",1165509214,C
175,Ohio,"Willard, Ohio",1166734856,C
176,Minnesota,"Oak Park Heights, Minnesota",1165896171,GA
177,Pennsylvania,"Lamar Township, Clinton County, Pennsylvania",1167294539,C
178,North Dakota,"Bismarck, North Dakota",1180013115,GA
179,Ohio,"Winchester, Adams County, Ohio",1176694112,C
180,Florida,"Lake Butler, Union County, Florida",1161946376,C
181,North Dakota,"Grafton, North Dakota",1179716789,C
182,Pennsylvania,"Conemaugh Township, Indiana County, Pennsylvania",1172551165,GA
183,Colorado,"Leadville, Colorado",1176060571,GA
184,Washington,"Cheney, Washington",1169362787,C
185,Michigan,"Colon, Michigan",1166756752,C
186,Iowa,"Fremont County, Iowa",1180051455,C
187,Iowa,"Hepburn, Iowa",1177683630,C
188,New Jersey,"Harding Township, New Jersey",1179889571,GA
189,Ohio,"Trotwood, Ohio",1172723486,GA
190,Minnesota,"Red Wing, Minnesota",1173668795,C
191,Pennsylvania,"Dingman Township, Pike County, Pennsylvania",1178959291,C
192,Pennsylvania,"Hanover Township, Lehigh County, Pennsylvania",1178630404,C
193,Massachusetts,"Barnstable, Massachusetts",1176700490,B
194,Iowa,"Orleans, Iowa",1165896764,C
195,California,"Antioch, California",1176834675,GA
196,Georgia (U.S. state),"Tignall, Georgia",1166331357,C
197,Indiana,"Rossville, Indiana",1170391459,C
198,Michigan,"Huntington Woods, Michigan",1162404514,C
199,Missouri,"Pendleton, Missouri",1167459107,Start
200,New Jersey,"Norwood, New Jersey",1179891027,GA
201,North Carolina,"Burlington, North Carolina",1176979101,GA
202,Illinois,"Aledo, Illinois",1176794799,C
203,Pennsylvania,"Nazareth, Pennsylvania",1171082321,C
204,New York,"Constableville, New York",1166757994,C
205,Missouri,"Greenville, Missouri",1165748760,C
206,Arkansas,"Russell, Arkansas",1174400758,Start
207,New Jersey,"Mannington Township, New Jersey",1179890254,GA
208,Texas,"Quitaque, Texas",1161947803,GA
209,Maryland,"Port Deposit, Maryland",1175118370,GA
210,Illinois,"Oneida, Illinois",1175228708,C
211,Minnesota,"St. Vincent, Minnesota",1165902994,C
212,Pennsylvania,"Girard, Pennsylvania",1164020488,C
213,Arizona,"Marana, Arizona",1174937558,C
214,New York,"White Plains, New York",1178149378,C
215,Pennsylvania,"Steelton, Pennsylvania",1173142509,C
216,South Dakota,"Colman, South Dakota",1171384660,C
217,Mississippi,"Oakland, Mississippi",1166210021,C
218,Ohio,"Vermilion, Ohio",1173273682,C
219,Pennsylvania,"Highspire, Pennsylvania",1175524913,GA
220,Pennsylvania,"Yoe, Pennsylvania",1176178299,C
221,Arizona,"Pinetop-Lakeside, Arizona",1178929427,C
222,Kentucky,"Rolling Fields, Kentucky",1165900120,C
223,Texas,"Coolidge, Texas",1166018739,GA
224,Missouri,"Ashland, Missouri",1178048069,C
225,Minnesota,"St. Clair, Minnesota",1165902830,C
226,Hawaii,"Pearl City, Hawaii",1176354164,C
227,North Carolina,"Goldsboro, North Carolina",1175860190,C
228,New York,"Brookville, New York",1166634721,C
229,Michigan,"Doyle Township, Michigan",1168638628,Stub
230,Michigan,"Forest Township, Cheboygan County, Michigan",1174698478,Start
231,Michigan,"Emmett Township, St. Clair County, Michigan",1174680698,Start
232,Minnesota,"Shorewood, Minnesota",1165901680,C
233,Mississippi,"Sumrall, Mississippi",1174516979,GA
234,Tennessee,"LaFollette, Tennessee",1165752579,C
235,Minnesota,"Whalan, Minnesota",1165907377,C
236,Idaho,"Ponderay, Idaho",1176173848,C
237,Texas,"Cuero, Texas",1175867962,C
238,Illinois,"Milton, Illinois",1167344301,C
239,Michigan,"Montmorency Township, Michigan",1178988381,Start
240,Pennsylvania,"Blawnox, Pennsylvania",1168300855,C
241,Vermont,"West Derby (village), Vermont",1155706628,Stub
242,Texas,"Wallis, Texas",1165906504,GA
243,Kentucky,"Germantown, Kentucky",1165747886,C
244,Missouri,"Waynesville, Missouri",1170535977,GA
245,Delaware,"Magnolia, Delaware",1166206673,GA
246,Louisiana,"Colfax, Louisiana",1169505958,C
247,Illinois,"Royal, Illinois",1168607777,C
248,Wisconsin,"Wisconsin Dells, Wisconsin",1173789863,C
249,South Carolina,"Due West, South Carolina",1166067099,GA
250,Montana,"Belt, Montana",1175454864,GA
251,Pennsylvania,"Manchester, Pennsylvania",1167881687,C
252,New Jersey,"Kingwood Township, New Jersey",1176047099,GA
253,New Jersey,"Tabernacle Township, New Jersey",1178944018,FA
254,Delaware,"Newark, Delaware",1178641768,GA
255,Michigan,"Chandler Township, Charlevoix County, Michigan",1176611707,C
256,North Dakota,"Pingree, North Dakota",1173216227,C
257,Georgia (U.S. state),"Coolidge, Georgia",1165645119,C
258,Pennsylvania,"Upper Mahanoy Township, Northumberland County, Pennsylvania",1175372541,Stub
259,North Dakota,"Newburg, North Dakota",1173717593,C
260,Ohio,"Willowick, Ohio",1168088657,GA
261,Kentucky,"Hindman, Kentucky",1165750109,C
262,Washington,"Airway Heights, Washington",1176353978,GA
263,Pennsylvania,"McConnellsburg, Pennsylvania",1166185063,C
264,South Dakota,"Selby, South Dakota",1172205870,C
265,Arkansas,"Plainview, Arkansas",1166295175,GA
266,Michigan,"Frankenlust Township, Michigan",1167017264,C
267,North Dakota,"Gilby, North Dakota",1172835802,C
268,Pennsylvania,"Rainsburg, Pennsylvania",1157455357,GA
269,Illinois,"Kirkland, Illinois",1172813121,C
270,Michigan,"Porter Township, Cass County, Michigan",1167498842,C
271,Missouri,"Homestown, Missouri",1165750313,C
272,Pennsylvania,"DuBois, Pennsylvania",1178026481,C
273,Montana,"Big Sandy, Montana",1177125939,GA
274,Washington,"Sunnyside, Washington",1160221492,GA
275,Minnesota,"Holdingford, Minnesota",1178791249,GA
276,Illinois,"Industry, Illinois",1167177436,C
277,Massachusetts,"Plainville, Massachusetts",1175956514,C
278,North Dakota,"Mandan, North Dakota",1178539756,B
279,Tennessee,"Moscow, Tennessee",1165894436,GA
280,Pennsylvania,"Millcreek Township, Erie County, Pennsylvania",1172766684,GA
281,Montana,"Manhattan, Montana",1176184335,C
282,Missouri,"Jameson, Missouri",1167179144,C
283,California,"Newman, California",1165895471,C
284,New York,"Castile (village), New York",1166692344,Start
285,Texas,"Toyah, Texas",1177620803,C
286,Kentucky,"Junction City, Kentucky",1165751397,GA
287,New York,"Buchanan, New York",1166635882,C
288,Georgia (U.S. state),"Alston, Georgia",1166369939,GA
289,Alabama,"Creola, Alabama",1139764613,GA
290,Pennsylvania,"North Catasauqua, Pennsylvania",1171087973,C
291,Georgia (U.S. state),"Macon, Georgia",1175078982,B
292,Illinois,"Merrionette Park, Illinois",1176730027,C
293,Illinois,"Arcola, Illinois",1172814968,C
294,New Jersey,"Ridgefield, New Jersey",1179891611,B
295,Texas,"Lowry Crossing, Texas",1171576431,Start
296,Michigan,"Markey Township, Michigan",1175096763,C
297,Michigan,"Bay Mills Township, Michigan",1174668961,C
298,Texas,"Von Ormy, Texas",1177114882,C
299,Iowa,"Goldfield, Iowa",1165748178,C
300,Illinois,"Vernon, Illinois",1167742964,GA
301,Pennsylvania,"Dublin, Pennsylvania",1172131431,GA
302,Kansas,"Dodge City, Kansas",1179944838,B
303,Ohio,"West Milton, Ohio",1167240591,C
304,Minnesota,"McKinley, St. Louis County, Minnesota",1165892849,C
305,Illinois,"Simpson, Illinois",1167672444,C
306,Michigan,"Grand Island Township, Michigan",1179048556,C
307,Florida,"Coral Gables, Florida",1177779034,GA
308,Minnesota,"Remer, Minnesota",1172593531,C
309,Indiana,"Crandall, Indiana",1166066040,C
310,Wyoming,"Deaver, Wyoming",1166066518,GA
311,Pennsylvania,"Wilkes-Barre, Pennsylvania",1173522570,B
312,Idaho,"Paul, Idaho",1169482696,C
313,Indiana,"Fairland, Indiana",1171043362,C
314,Michigan,"Plymouth, Michigan",1171942092,GA
315,Iowa,"Hudson, Iowa",1165750523,C
316,Vermont,"Royalton, Vermont",1166230372,C
317,Pennsylvania,"Pine Grove, Schuylkill County, Pennsylvania",1157451764,GA
318,Michigan,"Almont, Michigan",1171166457,C
319,Wisconsin,"Tomahawk, Wisconsin",1177703018,C
320,Texas,"Odessa, Texas",1179800769,C
321,Missouri,"Queen City, Missouri",1165898998,C
322,Tennessee,"Gruetli-Laager, Tennessee",1165748883,GA
323,Pennsylvania,"Roaring Brook Township, Lackawanna County, Pennsylvania",1175381291,Stub
324,Utah,"Dutch John, Utah",1166067174,C
325,Illinois,"Scales Mound, Illinois",1167668533,C
326,Pennsylvania,"Watsontown, Pennsylvania",1133851691,GA
327,New Jersey,"Butler, New Jersey",1179884725,GA
328,New York,"Wampsville, New York",1167835931,Start
329,Pennsylvania,"Penndel, Pennsylvania",1157450330,GA
330,Texas,"Brazos Country, Texas",1165536900,Start
331,Ohio,"Alliance, Ohio",1177913811,GA
332,Alabama,"Westover, Alabama",1165907320,Start
333,Kentucky,"Ewing, Kentucky",1165651000,C
334,Delaware,"Ardencroft, Delaware",1166484730,C
335,Illinois,"Palmer, Illinois",1167456767,C
336,New York,"Albany, New York",1180164598,FA
337,Iowa,"Grand Junction, Iowa",1165748398,C
338,Illinois,"East Brooklyn, Illinois",1166990557,Start
339,Massachusetts,"Methuen, Massachusetts",1171227261,C
340,Michigan,"Brown City, Michigan",1124614111,C
341,Utah,"Paragonah, Utah",1166210937,C
342,Iowa,"Boxholm, Iowa",1165536768,C
343,Texas,"Hideaway, Texas",1174560744,Start
344,Tennessee,"Silerton, Tennessee",1166231332,C
345,Indiana,"Michiana Shores, Indiana",1166207638,GA
346,Louisiana,"Olla, Louisiana",1174430777,C
347,Arkansas,"Gurdon, Arkansas",1165748930,C
348,Michigan,"Sherman Township, Newaygo County, Michigan",1167671216,Start
349,Ohio,"Middleburg Heights, Ohio",1165893315,GA
350,Ohio,"Plymouth, Ohio",1167497641,C
351,New Hampshire,"Lyman, New Hampshire",1174715206,C
352,Ohio,"Liberty Center, Ohio",1167316756,C
353,Idaho,"Rockland, Idaho",1165899997,C
354,Minnesota,"Hackensack, Minnesota",1165748962,C
355,Illinois,"Burlington, Illinois",1173861805,C
356,Pennsylvania,"Douglass Township, Montgomery County, Pennsylvania",1177815141,C
357,Mississippi,"Tillatoba, Mississippi",1166331370,Start
358,Illinois,"Frankfort, Illinois",1177443123,GA
359,South Carolina,"Pacolet, South Carolina",1166210838,C
360,Arkansas,"Fourche, Arkansas",1166068550,Start
361,Michigan,"Potterville, Michigan",1142682968,C
362,Ohio,"Port Jefferson, Ohio",1171439676,C
363,Georgia (U.S. state),"Pelham, Georgia",1165897452,GA
364,Kentucky,"Midway, Kentucky",1176552207,GA
365,Maine,"China, Maine",1179295350,C
366,Utah,"Fruit Heights, Utah",1167000771,C
367,Utah,"Morgan, Utah",1165894278,C
368,Illinois,"South Jacksonville, Illinois",1167674671,C
369,Minnesota,"Kenyon, Minnesota",1165752063,C
370,Colorado,"Meeker, Colorado",1168504746,C
371,Ohio,"North Kingsville, Ohio",1168087503,C
372,Texas,"Sealy, Texas",1169573211,C
373,Pennsylvania,"Blossburg, Pennsylvania",1159001002,GA
374,New Jersey,"River Vale, New Jersey",1173124420,B
375,Pennsylvania,"Penn Township, Berks County, Pennsylvania",1174294312,C
376,Pennsylvania,"Kenhorst, Pennsylvania",1173397735,GA
377,Pennsylvania,"Delaware Township, Northumberland County, Pennsylvania",1166850417,C
378,Louisiana,"Covington, Louisiana",1177293706,GA
379,Kentucky,"Smiths Grove, Kentucky",1171776119,C
380,Texas,"Beaumont, Texas",1178962512,B
381,Michigan,"Lowell Charter Township, Michigan",188648222,Stub
382,Pennsylvania,"South Abington Township, Lackawanna County, Pennsylvania",1175379576,Stub
383,Pennsylvania,"New Philadelphia, Pennsylvania",1157444478,C
384,Georgia (U.S. state),"Camak, Georgia",1166017032,Start
385,Michigan,"Columbus Township, St. Clair County, Michigan",1169586722,C
386,Maine,"Vinalhaven, Maine",1166332231,C
387,Colorado,"Loveland, Colorado",1170401381,GA
388,South Carolina,"Turbeville, South Carolina",1175038302,C
389,Colorado,"Yuma, Colorado",1171391224,Start
390,Alabama,"Avon, Alabama",1166014861,Start
391,Georgia (U.S. state),"Bowdon, Georgia",1176253533,C
392,Virginia,"Amherst County, Virginia",1172759600,C
393,Louisiana,"Clarks, Louisiana",1166696356,C
394,Michigan,"Chelsea, Michigan",1172484263,C
395,Tennessee,"Trimble, Tennessee",1166331630,C
396,Pennsylvania,"West Elizabeth, Pennsylvania",1177466618,C
397,Arkansas,"El Dorado, Arkansas",1170658553,C
398,Utah,"Hildale, Utah",1168757355,C
399,South Dakota,"Willow Lake, South Dakota",1171572118,GA
400,Illinois,"Clay City, Illinois",1166696491,C
401,Alabama,"Grant, Alabama",1166069728,GA
402,Missouri,"Princeton, Missouri",1165898804,C
403,South Carolina,"Springfield, South Carolina",1173836430,C
404,South Carolina,"Cayce, South Carolina",1165538670,GA
405,Utah,"Elsinore, Utah",1166067667,C
406,Iowa,"Poweshiek County, Iowa",1165721278,C
407,Ohio,"New Boston, Ohio",1170765551,C
408,Missouri,"Desloge, Missouri",1165646796,C
409,Utah,"Riverdale, Utah",1165899852,C
410,Minnesota,"Arden Hills, Minnesota",1165726279,GA
411,Alabama,"Woodland, Alabama",1166334268,C
412,Michigan,"Cohoctah Township, Michigan",1166780555,C
413,New Mexico,"Elida, New Mexico",1166067570,C
414,Tennessee,"Woodland Mills, Tennessee",1165908368,C
415,Colorado,"Granby, Colorado",1179565974,GA
416,Pennsylvania,"South Annville Township, Lebanon County, Pennsylvania",1175379721,Stub
417,Missouri,"Bosworth, Missouri",1165536679,C
418,Arkansas,"Lead Hill, Arkansas",1166205650,C
419,Ohio,"Mount Orab, Ohio",1167392529,C
420,Washington,"Northport, Washington",1166209845,GA
421,Minnesota,"Tyler, Minnesota",1165905079,C
422,North Dakota,"Park River, North Dakota",1172660962,C
423,Ohio,"Blakeslee, Ohio",1174944702,C
424,Mississippi,"Sardis, Mississippi",1166230728,C
425,Michigan,"Elmer Township, Oscoda County, Michigan",1174680422,Start
426,Georgia (U.S. state),"South Fulton, Georgia",1175730162,C
427,Texas,"Gholson, Texas",1165747913,GA
428,Pennsylvania,"Standing Stone Township, Bradford County, Pennsylvania",1175378544,Stub
429,Georgia (U.S. state),"Villa Rica, Georgia",1174809433,B
430,Pennsylvania,"Ligonier Township, Westmoreland County, Pennsylvania",1167317359,C
431,Iowa,"Marquette, Iowa",1166522863,C
432,Oklahoma,Oklahoma City,1179249699,B
433,South Dakota,"Howard, South Dakota",1171366725,GA
434,West Virginia,"Westover, West Virginia",1165907330,GA
435,Michigan,"Enterprise Township, Michigan",1174680894,Start
436,Pennsylvania,"Homestead, Pennsylvania",1169035959,C
437,New Jersey,"Stratford, New Jersey",1179888347,GA
438,Illinois,"Tower Hill, Illinois",1167684459,C
439,Missouri,"Maitland, Missouri",1165891861,GA
440,Illinois,"Grand Tower, Illinois",1165748432,GA
441,Alaska,"Bettles, Alaska",1165536061,GA
442,Oregon,"Vernonia, Oregon",1166439153,GA
443,Tennessee,"Michie, Tennessee",1166207639,C
444,Pennsylvania,"Penn Township, Butler County, Pennsylvania",1177795602,C
445,Kentucky,"Lawrenceburg, Kentucky",1176922499,C
446,Michigan,"Evart, Michigan",1156147744,C
447,Vermont,"Colchester, Vermont",1166018382,C
448,California,"Ontario, California",1180008873,C
449,Minnesota,"New Richland, Minnesota",1165895334,C
450,Ohio,"Powhatan Point, Ohio",1167499564,C
451,Pennsylvania,"Mont Alto, Pennsylvania",1157441520,C
452,Illinois,"Ohlman, Illinois",1167424850,B
453,Vermont,"Charlotte, Vermont",1166017676,C
454,Iowa,"Decatur City, Iowa",1177684270,C
455,Michigan,"Somerset Township, Michigan",1172319124,C
456,Texas,"Paducah, Texas",1166210841,C
457,Michigan,"Aurelius Township, Michigan",1166486951,Start
458,Iowa,"Bristow, Iowa",1165537151,C
459,North Carolina,"Durham, North Carolina",1180011921,GA
460,Colorado,"Ovid, Colorado",1166210795,Start
461,Maine,"Canaan, Maine",1174509407,Start
462,Texas,"LaCoste, Texas",1165752570,C
463,Louisiana,"Ida, Louisiana",1167176803,C
464,Wyoming,"Greybull, Wyoming",1177967878,GA
465,Washington,"Springdale, Washington",1166330015,GA
466,New Hampshire,"Sugar Hill, New Hampshire",1166330751,GA
467,Pennsylvania,"New Cumberland, Pennsylvania",1170686917,GA
468,Georgia (U.S. state),"De Soto, Georgia",1167578712,C
469,Delaware,"Frederica, Delaware",1166068689,GA
470,Louisiana,"Mamou, Louisiana",1168846195,C
471,New Jersey,"Ringwood, New Jersey",1179891615,GA
472,Maine,"Crawford, Maine",1174510039,Start
473,Ohio,"Springboro, Ohio",1175831507,GA
474,Florida,"Marathon, Florida",1176169787,C
475,California,"Corona, California",1175010027,B
476,Maine,"Westmanland, Maine",1166333287,C
477,Texas,"Spur, Texas",1173253514,C
478,Alabama,"Goodwater, Alabama",1166069571,C
479,California,"Diamond Bar, California",1170631007,C
480,Missouri,"Bellerive, Missouri",1107147139,Stub
481,Missouri,"Moscow Mills, Missouri",1165894422,C
482,Maine,"Morrill, Maine",1174511597,C
483,Pennsylvania,"Elmhurst Township, Lackawanna County, Pennsylvania",1174273475,C
484,Ohio,"Sunbury, Ohio",1167679643,C
485,Pennsylvania,"Leacock Township, Lancaster County, Pennsylvania",1157438231,C
486,Washington,"Okanogan, Washington",1165896447,GA
487,Ohio,"Tallmadge, Ohio",1176267717,GA
488,North Dakota,"Goodrich, North Dakota",1173669071,C
489,Texas,"Balch Springs, Texas",1169472635,C
490,Texas,"Strawn, Texas",1170803523,C
491,Massachusetts,"Warwick, Massachusetts",1105191402,C
492,Texas,"O'Brien, Texas",1172524730,C
493,New Jersey,"Oxford Township, New Jersey",1179891297,GA
494,New Jersey,"Hopatcong, New Jersey",1179889762,FA
495,Michigan,"Backus Township, Michigan",1174668513,C
496,South Carolina,"Manning, South Carolina",1165892002,C
497,Texas,"Mart, Texas",1165892471,C
498,Mississippi,"Soso, Mississippi",1149069649,GA
499,Michigan,"Saugatuck Township, Michigan",1167668283,C
